News Outlet,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
www.derstandard.at,0,0,80501,73076,60819,66268,67408,66939,60793,52344,45287,43214,46321,0
www.diepresse.com,54642,54728,56109,58897,59438,56904,55353,48397,49740,44502,37829,39064,36577,0
www.gmx.at,0,27,18,12,4608,2743,6801,9803,11873,14918,15627,15381,20562,0
www.heute.at,0,0,1,0,2,2,1,73,225,20754,42971,45484,49875,0
www.kleinezeitung.at,65038,71598,74287,80890,78039,86606,75104,94853,104817,107699,107451,91881,83869,0
www.krone.at,1,0,23621,25824,28081,32140,34496,42106,51396,72433,77127,88570,85580,0
www.kurier.at,3034,23094,41181,43151,44646,43713,46280,43298,43594,49835,53213,54624,52089,0
www.oe24.at,48708,47347,48540,55186,55903,41772,41506,36117,32311,34091,50903,51223,37846,54
www.orf.at,18139,44921,50945,51167,52737,54578,57312,54773,52333,48219,51451,49989,47695,0
www.sn.at,0,25,31955,35486,35655,39162,41311,48851,47027,53129,50091,47403,47153,1
