name,gender
Aaliyah,female
Aaron,male
Abdul,male
Abdullah,male
Abdurrahman,male
Abel,male
Abigail,female
Acelya,female
Achim,male
Ada,female
Adam,male
Adea,female
Adel,male
Adela,female
Adele,female
Adelheid,female
Adelina,female
Adem,male
Adian,male
Adil,male
Adin,male
Adina,female
Adis,male
Adna,female
Adnan,male
Adolf,male
Adrian,male
Adriana,female
Adriano,male
Adrijan,male
Adrijana,female
Aeneas,male
Afra,female
Agnes,female
Ahmad,male
Ahmed,male
Ahmet,male
Aida,female
Aiden,male
Aileen,female
Aimee,female
Aischa,female
Aisha,female
Ajan,male
Ajdin,male
Ajla,female
Ajlin,female
Ajna,female
Akif,male
Akin,male
Alan,male
Alara,female
Alba,female
Alban,male
Albert,male
Albin,male
Albion,male
Aldin,male
Alea,female
Alejandro,male
Alejna,female
Aleksa,male
Aleksandar,male
Aleksander,male
Aleksandra,female
Aleksej,male
Alem,male
Alen,male
Alena,female
Alessa,female
Alessandra,female
Alessandro,male
Alessia,female
Alessio,male
Alex,male
Alexa,female
Alexandar,male
Alexander,male
Alexandra,female
Alexandru,male
Alexia,female
Alexis,male
Aleyna,female
Alfred,male
Ali,male
Alia,female
Alica,female
Alice,female
Alicia,female
Alim,male
Alin,female
Alina,female
Aline,female
Alisa,female
Alisha,female
Alissa,female
Alissia,female
Aliya,female
Aliyah,female
Allegra,female
Alma,female
Almin,male
Almina,female
Almir,male
Alois,male
Alp,male
Alparslan,male
Alper,male
Alperen,male
Altin,male
Alva,female
Alvin,male
Alwin,male
Alya,female
Alyssa,female
Amadeus,male
Amalia,female
Amanda,female
Amar,male
Amara,female
Amel,male
Amela,female
Amelia,female
Amelie,female
Amely,female
Amer,male
Amila,female
Amilia,female
Amin,male
Amina,female
Amine,female
Amir,male
Amira,female
Ammar,male
Amna,female
Amon,male
Amos,male
Amra,female
Amy,female
Ana,female
Anabel,female
Anabell,female
Anabella,female
Anais,female
Anas,male
Anastasia,female
Anastasija,female
Anatol,male
Andi,male
Andjela,female
Andjelina,female
Andre,male
Andrea,female
Andreas,male
Andrei,male
Andrej,male
Andrew,male
Andrija,male
Andrijana,female
Andru,male
Anel,male
Anes,male
Anesa,female
Angela,female
Angelika,female
Angelina,female
Angelique,female
Angelo,male
Anica,female
Anik,male
Anika,female
Anil,male
Anina,female
Anis,male
Anisa,female
Anita,female
Anja,female
Anke,female
Anna,female
Annabel,female
Annabell,female
Annabella,female
Annabelle,female
Anna-Katharina,female
Annalena,female
Anna-Lena,female
Anna-Lisa,female
Annamaria,female
Anna-Maria,female
Anna-Marie,female
Anna-Sophia,female
Anna-Sophie,female
Anna-Theresa,female
Anne,female
Annelie,female
Anneliese,female
Annemarie,female
Annette,female
Annika,female
Annina,female
Ann-Kathrin,female
Anouk,female
Anselm,male
Anthony,male
Anton,male
Antonella,female
Antoni,male
Antonia,female
Antonio,male
Antonius,male
Anuar,male
Aram,male
Aras,male
Arda,male
Aren,male
Ares,male
Ari,male
Aria,female
Arian,male
Ariana,female
Ariane,female
Arif,male
Arijan,male
Arik,male
Arion,male
Aris,male
Arlind,male
Arman,male
Armando,male
Armin,male
Arno,male
Arnold,male
Aron,male
Arthur,male
Artin,male
Artur,male
Arya,female
Aryan,male
Asaf,male
Asel,female
Ashley,female
Asja,female
Asli,female
Asma,female
Asmin,female
Astrid,female
Asya,female
Ata,male
Atakan,male
Atilla,male
Attila,male
August,male
Augustin,male
Aurel,male
Aurelia,female
Aurelian,male
Aurelie,female
Aurelio,male
Aurora,female
Ava,female
Axel,male
Aya,female
Ayan,male
Ayaz,male
Ayla,female
Ayleen,female
Aylin,female
Ayman,male
Ayse,female
Aysenur,female
Azad,male
Aziz,male
Azra,female
Bahar,female
Balthasar,male
Baran,male
Barbara,female
Baris,male
Bastian,male
Batuhan,male
Bayram,male
Beate,female
Beatrice,female
Beatrix,female
Bedirhan,male
Bekir,male
Bela,male
Belinay,female
Belinda,female
Bella,female
Ben,male
Bence,male
Benedict,male
Benedikt,male
Benett,male
Benita,female
Benjamin,male
Bennet,male
Benno,male
Berat,male
Berdan,male
Beren,female
Berfin,female
Berk,male
Berkan,male
Berkant,male
Berkay,male
Berke,male
Bernadette,female
Bernd,male
Bernhard,male
Berra,female
Bertram,male
Bettina,female
Betül,female
Beytullah,male
Beyza,female
Bianca,female
Bianka,female
Bilal,male
Birgit,female
Björn,male
Bogdan,male
Bojan,male
Boran,male
Boris,male
Botond,male
Brian,male
Brigitte,female
Britta,female
Bruno,male
Bryan,male
Bugra,male
Bünyamin,male
Burak,male
Büsra,female
Cäcilia,female
Caleb,male
Calvin,male
Camilla,female
Camillo,male
Can,male
Caner,male
Cansu,female
Cara,female
Carina,female
Carl,male
Carla,female
Carlo,male
Carlos,male
Carlotta,female
Carmen,female
Carola,female
Carolin,female
Carolina,female
Caroline,female
Caspar,male
Cassandra,female
Cataleya,female
Catalina,female
Caterina,female
Catharina,female
Catherina,female
Catherine,female
Cathrin,female
Cecilia,female
Cedric,male
Celin,female
Celina,female
Celine,female
Cem,male
Ceren,female
Ceyda,female
Ceylin,female
Chantal,female
Charlotte,female
Chayenne,female
Cheyenne,female
Chiara,female
Chloe,female
Chris,male
Christa,female
Christian,male
Christiana,female
Christiane,female
Christin,female
Christina,female
Christine,female
Christof,male
Christofer,male
Christoph,male
Christopher,male
Ciara,female
Cihan,male
Cinar,male
Cindy,female
Claire,female
Clara,female
Clarissa,female
Claudia,female
Claudio,male
Claus,male
Clea,female
Clemens,male
Cleo,female
Colin,male
Collin,male
Connor,male
Conrad,male
Constantin,male
Constanze,female
Cora,female
Cordula,female
Corina,female
Corinna,female
Cornelia,female
Cornelius,male
Cosima,female
Cristiano,male
Cynthia,female
Dagmar,female
Dajana,female
Dalia,female
Damaris,female
Damian,male
Damien,male
Damir,male
Damjan,male
Damla,female
Dana,female
Dani,male
Daniel,male
Daniela,female
Danijel,male
Danilo,male
Danis,male
Danny,male
Daria,female
Darian,male
Dario,male
Daris,male
Darius,male
Darko,male
David,male
Davin,male
Davina,female
Davud,male
Dawid,male
Dea,female
Dean,male
Debora,female
Deborah,female
Defne,female
Dejan,male
Delia,female
Demian,male
Demir,male
Deni,male
Denis,male
Denisa,female
Denise,female
Deniz,male
Deniz,female
Dennis,male
Denny,male
Derya,female
Desiree,female
Devin,male
Devran,male
Diana,female
Diar,male
Diego,male
Dieter,male
Dietmar,male
Dijana,female
Dijar,male
Dila,female
Dilan,female
Dilara,female
Dimitri,male
Din,male
Dina,female
Dino,male
Dion,male
Diyar,male
Dogukan,male
Domenic,male
Domenik,male
Dominic,male
Dominik,male
Dominika,female
Dominique,male
Dominique,female
Dora,female
Doreen,female
Dorian,male
Dorina,female
Doris,female
Dorothea,female
Dragan,male
Dua,female
Dunja,female
Dusan,male
Dustin,male
Dylan,male
Ebrar,female
Ebru,female
Ebubekir,male
Ece,female
Ecrin,female
Eda,female
Edda,female
Edgar,male
Edi,male
Edin,male
Edina,female
Edis,male
Edith,female
Ediz,male
Edon,male
Eduard,male
Edvin,male
Edward,male
Edwin,male
Efe,male
Ege,male
Egemen,male
Egon,male
Eileen,female
Ekrem,male
Ela,female
